"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"2002"	"2002"	624	5396255	11.6
	"Arizona"	"04"	"2003"	"2003"	674	5510364	12.2
	"Arizona"	"04"	"2004"	"2004"	744	5652404	13.2
	"Arizona"	"04"	"2005"	"2005"	794	5839077	13.6
	"Arizona"	"04"	"2006"	"2006"	876	6029141	14.5
	"Arizona"	"04"	"2007"	"2007"	943	6167681	15.3
	"Arizona"	"04"	"2008"	"2008"	828	6280362	13.2
	"Arizona"	"04"	"2009"	"2009"	1002	6343154	15.8
	"Arizona"	"04"	"2010"	"2010"	1098	6392017	17.2
	"Arizona"	"04"	"2011"	"2011"	1071	6482505	16.5
	"Arizona"	"04"	"2012"	"2012"	1134	6553255	17.3
	"Arizona"	"04"	"2013"	"2013"	1222	6626624	18.4
	"Arizona"	"04"	"2014"	"2014"	1211	6731484	18.0
	"Arizona"	"04"	"2015"	"2015"	1274	6828065	18.7
	"Arizona"	"04"	"2016"	"2016"	1382	6931071	19.9
	"Arizona"	"04"	"2017"	"2017"	1532	7016270	21.8
	"Arizona"	"04"	"2018"	"2018"	1670	7171646	23.3
	"Arizona"	"04"	"2019"	"2019"	1907	7278717	26.2
	"Arizona"	"04"	"2020 "	"2020"	2550	7421401	34.4
"Total"	"Arizona"	"04"			24121	138079425	17.5
	"Arkansas"	"05"	"1999"	"1999"	113	2651860	4.3
	"Arkansas"	"05"	"2000"	"2000"	140	2673400	5.2
	"Arkansas"	"05"	"2001"	"2001"	126	2691571	4.7
	"Arkansas"	"05"	"2002"	"2002"	176	2705927	6.5
	"Arkansas"	"05"	"2003"	"2003"	184	2724816	6.8
	"Arkansas"	"05"	"2004"	"2004"	230	2749686	8.4
	"Arkansas"	"05"	"2005"	"2005"	269	2781097	9.7
	"Arkansas"	"05"	"2006"	"2006"	285	2821761	10.1
	"Arkansas"	"05"	"2007"	"2007"	301	2848650	10.6
	"Arkansas"	"05"	"2008"	"2008"	360	2874554	12.5
	"Arkansas"	"05"	"2009"	"2009"	351	2896843	12.1
	"Arkansas"	"05"	"2010"	"2010"	350	2915918	12.0
	"Arkansas"	"05"	"2011"	"2011"	355	2937979	12.1
	"Arkansas"	"05"	"2012"	"2012"	373	2949131	12.6
	"Arkansas"	"05"	"2013"	"2013"	319	2959373	10.8
	"Arkansas"	"05"	"2014"	"2014"	356	2966369	12.0
	"Arkansas"	"05"	"2015"	"2015"	392	2978204	13.2
	"Arkansas"	"05"	"2016"	"2016"	401	2988248	13.4
	"Arkansas"	"05"	"2017"	"2017"	446	3004279	14.8
	"Arkansas"	"05"	"2018"	"2018"	444	3013825	14.7
	"Arkansas"	"05"	"2019"	"2019"	388	3017804	12.9
	"Arkansas"	"05"	"2020 "	"2020"	546	3030522	18.0
"Total"	"Arkansas"	"05"			6905	63181817	10.9
	"California"	"06"	"1999"	"1999"	2662	33499204	7.9
	"California"	"06"	"2000"	"2000"	1941	33871648	5.7
	"California"	"06"	"2001"	"2001"	1226	34479458	3.6
	"California"	"06"	"2002"	"2002"	2975	34871843	8.5
	"California"	"06"	"2003"	"2003"	3108	35253159	8.8
	"California"	"06"	"2004"	"2004"	3125	35574576	8.8
	"California"	"06"	"2005"	"2005"	3214	35827943	9.0
	"California"	"06"	"2006"	"2006"	3494	36021202	9.7
	"California"	"06"	"2007"	"2007"	3854	36250311	10.6
	"California"	"06"	"2008"	"2008"	3863	36604337	10.6
	"California"	"06"	"2009"	"2009"	4056	36961229	11.0
	"California"	"06"	"2010"	"2010"	4057	37253956	10.9
	"California"	"06"	"2011"	"2011"	4180	37691912	11.1
	"California"	"06"	"2012"	"2012"	4040	38041430	10.6
	"California"	"06"	"2013"	"2013"	4452	38332521	11.6
	"California"	"06"	"2014"	"2014"	4521	38802500	11.7
	"California"	"06"	"2015"	"2015"	4659	39144818	11.9
	"California"	"06"	"2016"	"2016"	4654	39250017	11.9
	"California"	"06"	"2017"	"2017"	4868	39536653	12.3
	"California"	"06"	"2018"	"2018"	5348	39557045	13.5
	"California"	"06"	"2019"	"2019"	6198	39512223	15.7
	"California"	"06"	"2020 "	"2020"	8908	39368078	22.6
"Total"	"California"	"06"			89403	815706063	11.0
	"Colorado"	"08"	"1999"	"1999"	349	4226018	8.3
	"Colorado"	"08"	"2000"	"2000"	352	4301261	8.2
	"Colorado"	"08"	"2001"	"2001"	411	4425687	9.3
	"Colorado"	"08"	"2002"	"2002"	448	4490406	10.0
	"Colorado"	"08"	"2003"	"2003"	502	4528732	11.1
	"Colorado"	"08"	"2004"	"2004"	518	4575013	11.3
	"Colorado"	"08"	"2005"	"2005"	608	4631888	13.1
	"Colorado"	"08"	"2006"	"2006"	627	4720423	13.3
	"Colorado"	"08"	"2007"	"2007"	734	4803868	15.3
	"Colorado"	"08"	"2008"	"2008"	749	4889730	15.3
	"Colorado"	"08"	"2009"	"2009"	769	4972195	15.5
	"Colorado"	"08"	"2010"	"2010"	654	5029196	13.0
	"Colorado"	"08"	"2011"	"2011"	843	5116796	16.5
	"Colorado"	"08"	"2012"	"2012"	807	5187582	15.6
	"Colorado"	"08"	"2013"	"2013"	846	5268367	16.1
	"Colorado"	"08"	"2014"	"2014"	899	5355866	16.8
	"Colorado"	"08"	"2015"	"2015"	869	5456574	15.9
	"Colorado"	"08"	"2016"	"2016"	942	5540545	17.0
	"Colorado"	"08"	"2017"	"2017"	1015	5607154	18.1
	"Colorado"	"08"	"2018"	"2018"	995	5695564	17.5
	"Colorado"	"08"	"2019"	"2019"	1079	5758736	18.7
	"Colorado"	"08"	"2020 "	"2020"	1492	5807719	25.7
"Total"	"Colorado"	"08"			16508	110389320	15.0
	"Connecticut"	"09"	"1999"	"1999"	310	3386401	9.2
	"Connecticut"	"09"	"2000"	"2000"	320	3405565	9.4
	"Connecticut"	"09"	"2001"	"2001"	307	3432835	8.9
	"Connecticut"	"09"	"2002"	"2002"	354	3458749	10.2
	"Connecticut"	"09"	"2003"	"2003"	307	3484336	8.8
	"Connecticut"	"09"	"2004"	"2004"	333	3496094	9.5
	"Connecticut"	"09"	"2005"	"2005"	295	3506956	8.4
	"Connecticut"	"09"	"2006"	"2006"	407	3517460	11.6
	"Connecticut"	"09"	"2007"	"2007"	433	3527270	12.3
	"Connecticut"	"09"	"2008"	"2008"	386	3545579	10.9
	"Connecticut"	"09"	"2009"	"2009"	393	3561807	11.0
	"Connecticut"	"09"	"2010"	"2010"	363	3574097	10.2
	"Connecticut"	"09"	"2011"	"2011"	402	3580709	11.2
	"Connecticut"	"09"	"2012"	"2012"	439	3590347	12.2
	"Connecticut"	"09"	"2013"	"2013"	582	3596080	16.2
	"Connecticut"	"09"	"2014"	"2014"	623	3596677	17.3
	"Connecticut"	"09"	"2015"	"2015"	800	3590886	22.3
	"Connecticut"	"09"	"2016"	"2016"	971	3576452	27.1
	"Connecticut"	"09"	"2017"	"2017"	1072	3588184	29.9
	"Connecticut"	"09"	"2018"	"2018"	1069	3572665	29.9
	"Connecticut"	"09"	"2019"	"2019"	1214	3565287	34.1
	"Connecticut"	"09"	"2020 "	"2020"	1371	3557006	38.5
"Total"	"Connecticut"	"09"			12751	77711442	16.4
	"Delaware"	"10"	"1999"	"1999"	50	774990	6.5
	"Delaware"	"10"	"2000"	"2000"	55	783600	7.0
	"Delaware"	"10"	"2001"	"2001"	64	795699	8.0
	"Delaware"	"10"	"2002"	"2002"	84	806169	10.4
	"Delaware"	"10"	"2003"	"2003"	77	818003	9.4
	"Delaware"	"10"	"2004"	"2004"	63	830803	7.6
	"Delaware"	"10"	"2005"	"2005"	62	845150	7.3
	"Delaware"	"10"	"2006"	"2006"	78	859268	9.1
	"Delaware"	"10"	"2007"	"2007"	97	871749	11.1
	"Delaware"	"10"	"2008"	"2008"	124	883874	14.0
	"Delaware"	"10"	"2009"	"2009"	136	891730	15.3
	"Delaware"	"10"	"2010"	"2010"	145	897934	16.1
	"Delaware"	"10"	"2011"	"2011"	160	907135	17.6
	"Delaware"	"10"	"2012"	"2012"	141	917092	15.4
	"Delaware"	"10"	"2013"	"2013"	166	925749	17.9
	"Delaware"	"10"	"2014"	"2014"	189	935614	20.2
	"Delaware"	"10"	"2015"	"2015"	198	945934	20.9
	"Delaware"	"10"	"2016"	"2016"	282	952065	29.6
	"Delaware"	"10"	"2017"	"2017"	338	961939	35.1
	"Delaware"	"10"	"2018"	"2018"	401	967171	41.5
	"Delaware"	"10"	"2019"	"2019"	435	973764	44.7
	"Delaware"	"10"	"2020 "	"2020"	444	986809	45.0
"Total"	"Delaware"	"10"			3789	19532241	19.4
	"District of Columbia"	"11"	"1999"	"1999"	48	570213	8.4
	"District of Columbia"	"11"	"2000"	"2000"	76	572059	13.3
	"District of Columbia"	"11"	"2001"	"2001"	93	574504	16.2
	"District of Columbia"	"11"	"2002"	"2002"	61	573158	10.6
	"District of Columbia"	"11"	"2003"	"2003"	103	568502	18.1
	"District of Columbia"	"11"	"2004"	"2004"	87	567754	15.3
	"District of Columbia"	"11"	"2005"	"2005"	77	567136	13.6
	"District of Columbia"	"11"	"2006"	"2006"	101	570681	17.7
	"District of Columbia"	"11"	"2007"	"2007"	61	574404	10.6
	"District of Columbia"	"11"	"2008"	"2008"	56	580236	9.7
	"District of Columbia"	"11"	"2009"	"2009"	26	592228	4.4
	"District of Columbia"	"11"	"2010"	"2010"	78	601723	13.0
	"District of Columbia"	"11"	"2011"	"2011"	86	617996	13.9
	"District of Columbia"	"11"	"2012"	"2012"	77	632323	12.2
	"District of Columbia"	"11"	"2013"	"2013"	102	646449	15.8
	"District of Columbia"	"11"	"2014"	"2014"	96	658893	14.6
	"District of Columbia"	"11"	"2015"	"2015"	125	672228	18.6
	"District of Columbia"	"11"	"2016"	"2016"	269	681170	39.5
	"District of Columbia"	"11"	"2017"	"2017"	310	693972	44.7
	"District of Columbia"	"11"	"2018"	"2018"	254	702455	36.2
	"District of Columbia"	"11"	"2019"	"2019"	311	705749	44.1
	"District of Columbia"	"11"	"2020 "	"2020"	424	712816	59.5
"Total"	"District of Columbia"	"11"			2921	13636649	21.4
	"Florida"	"12"	"1999"	"1999"	997	15759421	6.3
	"Florida"	"12"	"2000"	"2000"	1159	15982378	7.3
	"Florida"	"12"	"2001"	"2001"	1746	16356966	10.7
	"Florida"	"12"	"2002"	"2002"	1927	16689370	11.5
	"Florida"	"12"	"2003"	"2003"	2054	17004085	12.1
	"Florida"	"12"	"2004"	"2004"	2264	17415318	13.0
	"Florida"	"12"	"2005"	"2005"	2371	17842038	13.3
	"Florida"	"12"	"2006"	"2006"	2591	18166990	14.3
	"Florida"	"12"	"2007"	"2007"	2794	18367842	15.2
	"Florida"	"12"	"2008"	"2008"	2963	18527305	16.0
	"Florida"	"12"	"2009"	"2009"	3092	18652644	16.6
	"Florida"	"12"	"2010"	"2010"	3061	18801310	16.3
	"Florida"	"12"	"2011"	"2011"	2918	19057542	15.3
	"Florida"	"12"	"2012"	"2012"	2597	19317568	13.4
	"Florida"	"12"	"2013"	"2013"	2474	19552860	12.7
	"Florida"	"12"	"2014"	"2014"	2634	19893297	13.2
	"Florida"	"12"	"2015"	"2015"	3228	20271272	15.9
	"Florida"	"12"	"2016"	"2016"	4728	20612439	22.9
	"Florida"	"12"	"2017"	"2017"	5088	20984400	24.2
	"Florida"	"12"	"2018"	"2018"	4698	21299325	22.1
	"Florida"	"12"	"2019"	"2019"	5268	21477737	24.5
	"Florida"	"12"	"2020 "	"2020"	7231	21733312	33.3
"Total"	"Florida"	"12"			67883	413765419	16.4
	"Georgia"	"13"	"1999"	"1999"	283	8045965	3.5
	"Georgia"	"13"	"2000"	"2000"	364	8186453	4.4
	"Georgia"	"13"	"2001"	"2001"	511	8377038	6.1
	"Georgia"	"13"	"2002"	"2002"	563	8508256	6.6
	"Georgia"	"13"	"2003"	"2003"	607	8622793	7.0
	"Georgia"	"13"	"2004"	"2004"	666	8769252	7.6
	"Georgia"	"13"	"2005"	"2005"	738	8925922	8.3
	"Georgia"	"13"	"2006"	"2006"	830	9155813	9.1
	"Georgia"	"13"	"2007"	"2007"	923	9349988	9.9
	"Georgia"	"13"	"2008"	"2008"	935	9504843	9.8
	"Georgia"	"13"	"2009"	"2009"	1007	9620846	10.5
	"Georgia"	"13"	"2010"	"2010"	1054	9687653	10.9
	"Georgia"	"13"	"2011"	"2011"	1058	9815210	10.8
	"Georgia"	"13"	"2012"	"2012"	1056	9919945	10.6
	"Georgia"	"13"	"2013"	"2013"	1098	9992167	11.0
	"Georgia"	"13"	"2014"	"2014"	1206	10097343	11.9
	"Georgia"	"13"	"2015"	"2015"	1302	10214860	12.7
	"Georgia"	"13"	"2016"	"2016"	1394	10310371	13.5
	"Georgia"	"13"	"2017"	"2017"	1537	10429379	14.7
	"Georgia"	"13"	"2018"	"2018"	1404	10519475	13.3
	"Georgia"	"13"	"2019"	"2019"	1408	10617423	13.3
	"Georgia"	"13"	"2020 "	"2020"	1916	10710017	17.9
"Total"	"Georgia"	"13"			21860	209381012	10.4
	"Hawaii"	"15"	"1999"	"1999"	80	1210300	6.6
	"Hawaii"	"15"	"2000"	"2000"	63	1211537	5.2
	"Hawaii"	"15"	"2001"	"2001"	77	1225948	6.3
	"Hawaii"	"15"	"2002"	"2002"	77	1239613	6.2
	"Hawaii"	"15"	"2003"	"2003"	92	1251154	7.4
	"Hawaii"	"15"	"2004"	"2004"	103	1273569	8.1
	"Hawaii"	"15"	"2005"	"2005"	126	1292729	9.7
	"Hawaii"	"15"	"2006"	"2006"	86	1309731	6.6
	"Hawaii"	"15"	"2007"	"2007"	136	1315675	10.3
	"Hawaii"	"15"	"2008"	"2008"	123	1332213	9.2
	"Hawaii"	"15"	"2009"	"2009"	136	1346717	10.1
	"Hawaii"	"15"	"2010"	"2010"	151	1360301	11.1
	"Hawaii"	"15"	"2011"	"2011"	180	1374810	13.1
	"Hawaii"	"15"	"2012"	"2012"	155	1392313	11.1
	"Hawaii"	"15"	"2013"	"2013"	158	1404054	11.3
	"Hawaii"	"15"	"2014"	"2014"	157	1419561	11.1
	"Hawaii"	"15"	"2015"	"2015"	169	1431603	11.8
	"Hawaii"	"15"	"2016"	"2016"	191	1428557	13.4
	"Hawaii"	"15"	"2017"	"2017"	203	1427538	14.2
	"Hawaii"	"15"	"2018"	"2018"	213	1420491	15.0
	"Hawaii"	"15"	"2019"	"2019"	242	1415872	17.1
	"Hawaii"	"15"	"2020 "	"2020"	274	1407006	19.5
"Total"	"Hawaii"	"15"			3192	29491292	10.8
	"Idaho"	"16"	"1999"	"1999"	64	1275674	5.0
	"Idaho"	"16"	"2000"	"2000"	64	1293953	4.9
	"Idaho"	"16"	"2001"	"2001"	98	1319962	7.4
	"Idaho"	"16"	"2002"	"2002"	117	1340372	8.7
	"Idaho"	"16"	"2003"	"2003"	102	1363380	7.5
	"Idaho"	"16"	"2004"	"2004"	98	1391802	7.0
	"Idaho"	"16"	"2005"	"2005"	109	1428241	7.6
	"Idaho"	"16"	"2006"	"2006"	130	1468669	8.9
	"Idaho"	"16"	"2007"	"2007"	126	1505105	8.4
	"Idaho"	"16"	"2008"	"2008"	146	1534320	9.5
	"Idaho"	"16"	"2009"	"2009"	171	1554439	11.0
	"Idaho"	"16"	"2010"	"2010"	178	1567582	11.4
	"Idaho"	"16"	"2011"	"2011"	193	1584985	12.2
	"Idaho"	"16"	"2012"	"2012"	181	1595728	11.3
	"Idaho"	"16"	"2013"	"2013"	207	1612136	12.8
	"Idaho"	"16"	"2014"	"2014"	212	1634464	13.0
	"Idaho"	"16"	"2015"	"2015"	218	1654930	13.2
	"Idaho"	"16"	"2016"	"2016"	243	1683140	14.4
	"Idaho"	"16"	"2017"	"2017"	236	1716943	13.7
	"Idaho"	"16"	"2018"	"2018"	250	1754208	14.3
	"Idaho"	"16"	"2019"	"2019"	265	1787065	14.8
	"Idaho"	"16"	"2020 "	"2020"	287	1826913	15.7
"Total"	"Idaho"	"16"			3695	33894011	10.9
	"Illinois"	"17"	"1999"	"1999"	825	12359020	6.7
	"Illinois"	"17"	"2000"	"2000"	868	12419293	7.0
	"Illinois"	"17"	"2001"	"2001"	892	12488445	7.1
	"Illinois"	"17"	"2002"	"2002"	986	12525556	7.9
	"Illinois"	"17"	"2003"	"2003"	847	12556006	6.7
	"Illinois"	"17"	"2004"	"2004"	1035	12589773	8.2
	"Illinois"	"17"	"2005"	"2005"	1067	12609903	8.5
	"Illinois"	"17"	"2006"	"2006"	1369	12643955	10.8
	"Illinois"	"17"	"2007"	"2007"	1192	12695866	9.4
	"Illinois"	"17"	"2008"	"2008"	1353	12747038	10.6
	"Illinois"	"17"	"2009"	"2009"	1381	12796778	10.8
	"Illinois"	"17"	"2010"	"2010"	1288	12830632	10.0
	"Illinois"	"17"	"2011"	"2011"	1408	12869257	10.9
	"Illinois"	"17"	"2012"	"2012"	1628	12875255	12.6
	"Illinois"	"17"	"2013"	"2013"	1579	12882135	12.3
	"Illinois"	"17"	"2014"	"2014"	1705	12880580	13.2
	"Illinois"	"17"	"2015"	"2015"	1835	12859995	14.3
	"Illinois"	"17"	"2016"	"2016"	2411	12801539	18.8
	"Illinois"	"17"	"2017"	"2017"	2778	12802023	21.7
	"Illinois"	"17"	"2018"	"2018"	2722	12741080	21.4
	"Illinois"	"17"	"2019"	"2019"	2790	12671821	22.0
	"Illinois"	"17"	"2020 "	"2020"	3549	12587530	28.2
"Total"	"Illinois"	"17"			35508	279233480	12.7
	"Indiana"	"18"	"1999"	"1999"	191	6044969	3.2
	"Indiana"	"18"	"2000"	"2000"	214	6080485	3.5
	"Indiana"	"18"	"2001"	"2001"	283	6127760	4.6
	"Indiana"	"18"	"2002"	"2002"	293	6155967	4.8
	"Indiana"	"18"	"2003"	"2003"	434	6196638	7.0
	"Indiana"	"18"	"2004"	"2004"	542	6233007	8.7
	"Indiana"	"18"	"2005"	"2005"	610	6278616	9.7
	"Indiana"	"18"	"2006"	"2006"	736	6332669	11.6
	"Indiana"	"18"	"2007"	"2007"	781	6379599	12.2
	"Indiana"	"18"	"2008"	"2008"	830	6424806	12.9
	"Indiana"	"18"	"2009"	"2009"	896	6459325	13.9
	"Indiana"	"18"	"2010"	"2010"	927	6483802	14.3
	"Indiana"	"18"	"2011"	"2011"	975	6516922	15.0
	"Indiana"	"18"	"2012"	"2012"	1011	6537334	15.5
	"Indiana"	"18"	"2013"	"2013"	1064	6570902	16.2
	"Indiana"	"18"	"2014"	"2014"	1172	6596855	17.8
	"Indiana"	"18"	"2015"	"2015"	1245	6619680	18.8
	"Indiana"	"18"	"2016"	"2016"	1526	6633053	23.0
	"Indiana"	"18"	"2017"	"2017"	1852	6666818	27.8
	"Indiana"	"18"	"2018"	"2018"	1629	6691878	24.3
	"Indiana"	"18"	"2019"	"2019"	1699	6732219	25.2
	"Indiana"	"18"	"2020 "	"2020"	2321	6754953	34.4
"Total"	"Indiana"	"18"			21231	141518257	15.0
	"Iowa"	"19"	"1999"	"1999"	53	2917634	1.8
	"Iowa"	"19"	"2000"	"2000"	73	2926324	2.5
	"Iowa"	"19"	"2001"	"2001"	87	2931997	3.0
	"Iowa"	"19"	"2002"	"2002"	91	2934234	3.1
	"Iowa"	"19"	"2003"	"2003"	96	2941999	3.3
	"Iowa"	"19"	"2004"	"2004"	122	2953635	4.1
	"Iowa"	"19"	"2005"	"2005"	141	2964454	4.8
	"Iowa"	"19"	"2006"	"2006"	187	2982644	6.3
	"Iowa"	"19"	"2007"	"2007"	203	2999212	6.8
	"Iowa"	"19"	"2008"	"2008"	209	3016734	6.9
	"Iowa"	"19"	"2009"	"2009"	207	3032870	6.8
	"Iowa"	"19"	"2010"	"2010"	253	3046355	8.3
	"Iowa"	"19"	"2011"	"2011"	250	3062309	8.2
	"Iowa"	"19"	"2012"	"2012"	259	3074186	8.4
	"Iowa"	"19"	"2013"	"2013"	275	3090416	8.9
	"Iowa"	"19"	"2014"	"2014"	264	3107126	8.5
	"Iowa"	"19"	"2015"	"2015"	309	3123899	9.9
	"Iowa"	"19"	"2016"	"2016"	314	3134693	10.0
	"Iowa"	"19"	"2017"	"2017"	341	3145711	10.8
	"Iowa"	"19"	"2018"	"2018"	287	3156145	9.1
	"Iowa"	"19"	"2019"	"2019"	352	3155070	11.2
	"Iowa"	"19"	"2020 "	"2020"	432	3163561	13.7
"Total"	"Iowa"	"19"			4805	66861208	7.2
	"Kansas"	"20"	"1999"	"1999"	89	2678338	3.3
	"Kansas"	"20"	"2000"	"2000"	103	2688418	3.8
	"Kansas"	"20"	"2001"	"2001"	138	2702162	5.1
	"Kansas"	"20"	"2002"	"2002"	170	2713535	6.3
	"Kansas"	"20"	"2003"	"2003"	188	2723004	6.9
	"Kansas"	"20"	"2004"	"2004"	224	2734373	8.2
	"Kansas"	"20"	"2005"	"2005"	241	2745299	8.8
	"Kansas"	"20"	"2006"	"2006"	257	2762931	9.3
	"Kansas"	"20"	"2007"	"2007"	270	2783785	9.7
	"Kansas"	"20"	"2008"	"2008"	219	2808076	7.8
	"Kansas"	"20"	"2009"	"2009"	304	2832704	10.7
	"Kansas"	"20"	"2010"	"2010"	269	2853118	9.4
	"Kansas"	"20"	"2011"	"2011"	280	2871238	9.8
	"Kansas"	"20"	"2012"	"2012"	318	2885905	11.0
	"Kansas"	"20"	"2013"	"2013"	331	2893957	11.4
	"Kansas"	"20"	"2014"	"2014"	332	2904021	11.4
	"Kansas"	"20"	"2015"	"2015"	329	2911641	11.3
	"Kansas"	"20"	"2016"	"2016"	313	2907289	10.8
	"Kansas"	"20"	"2017"	"2017"	333	2913123	11.4
	"Kansas"	"20"	"2018"	"2018"	345	2911505	11.8
	"Kansas"	"20"	"2019"	"2019"	403	2913314	13.8
	"Kansas"	"20"	"2020 "	"2020"	490	2913805	16.8
"Total"	"Kansas"	"20"			5946	62051541	9.6
	"Kentucky"	"21"	"1999"	"1999"	197	4018053	4.9
	"Kentucky"	"21"	"2000"	"2000"	241	4041769	6.0
	"Kentucky"	"21"	"2001"	"2001"	345	4068132	8.5
	"Kentucky"	"21"	"2002"	"2002"	426	4089875	10.4
	"Kentucky"	"21"	"2003"	"2003"	560	4117170	13.6
	"Kentucky"	"21"	"2004"	"2004"	526	4146101	12.7
	"Kentucky"	"21"	"2005"	"2005"	638	4182742	15.3
	"Kentucky"	"21"	"2006"	"2006"	728	4219239	17.3
	"Kentucky"	"21"	"2007"	"2007"	708	4256672	16.6
	"Kentucky"	"21"	"2008"	"2008"	764	4289878	17.8
	"Kentucky"	"21"	"2009"	"2009"	769	4317074	17.8
	"Kentucky"	"21"	"2010"	"2010"	1007	4339367	23.2
	"Kentucky"	"21"	"2011"	"2011"	1058	4369356	24.2
	"Kentucky"	"21"	"2012"	"2012"	1078	4380415	24.6
	"Kentucky"	"21"	"2013"	"2013"	1019	4395295	23.2
	"Kentucky"	"21"	"2014"	"2014"	1077	4413457	24.4
	"Kentucky"	"21"	"2015"	"2015"	1273	4425092	28.8
	"Kentucky"	"21"	"2016"	"2016"	1419	4436974	32.0
	"Kentucky"	"21"	"2017"	"2017"	1566	4454189	35.2
	"Kentucky"	"21"	"2018"	"2018"	1315	4468402	29.4
	"Kentucky"	"21"	"2019"	"2019"	1380	4467673	30.9
	"Kentucky"	"21"	"2020 "	"2020"	2083	4477251	46.5
"Total"	"Kentucky"	"21"			20177	94374176	21.4
	"Louisiana"	"22"	"1999"	"1999"	188	4460811	4.2
	"Louisiana"	"22"	"2000"	"2000"	248	4468976	5.5
	"Louisiana"	"22"	"2001"	"2001"	265	4477875	5.9
	"Louisiana"	"22"	"2002"	"2002"	365	4497267	8.1
	"Louisiana"	"22"	"2003"	"2003"	536	4521042	11.9
	"Louisiana"	"22"	"2004"	"2004"	539	4552238	11.8
	"Louisiana"	"22"	"2005"	"2005"	661	4576628	14.4
	"Louisiana"	"22"	"2006"	"2006"	705	4302665	16.4
	"Louisiana"	"22"	"2007"	"2007"	808	4375581	18.5
	"Louisiana"	"22"	"2008"	"2008"	647	4435586	14.6
	"Louisiana"	"22"	"2009"	"2009"	584	4491648	13.0
	"Louisiana"	"22"	"2010"	"2010"	591	4533372	13.0
	"Louisiana"	"22"	"2011"	"2011"	601	4574836	13.1
	"Louisiana"	"22"	"2012"	"2012"	566	4601893	12.3
	"Louisiana"	"22"	"2013"	"2013"	809	4625470	17.5
	"Louisiana"	"22"	"2014"	"2014"	777	4649676	16.7
	"Louisiana"	"22"	"2015"	"2015"	861	4670724	18.4
	"Louisiana"	"22"	"2016"	"2016"	996	4681666	21.3
	"Louisiana"	"22"	"2017"	"2017"	1108	4684333	23.7
