"Date Printed: Tuesday, April 12, 2022 10:24:43 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Early Non-Primary, Non-Secondary Syphilis","2017","Alabama","01","422","10.3","NA"
"Congenital Syphilis","2019","Alabama","01","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Alabama","01","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Alabama","01","Data not available","Data not available","NA"
"Chlamydia","2019","Alabama","01","31,164","755.7","NA"
"Chlamydia","2018","Alabama","01","28,318","689.5","NA"
"Chlamydia","2017","Alabama","01","29,844","729.1","NA"
"Acute Viral Hepatitis C","2019","Alabama","01","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Alabama","01","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Alabama","01","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Alabama","01","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Alabama","01","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Alabama","01","Data not available","Data not available","NA"
"AIDS classifications","2019","Alabama","01","266","6.5","NA"
"AIDS classifications","2018","Alabama","01","290","7.1","NA"
"AIDS classifications","2017","Alabama","01","293","7.2","NA"
"HIV prevalence","2019","Alabama^","01","13,875","336.4","NA"
"HIV prevalence","2018","Alabama^","01","13,471","328.0","NA"
"HIV prevalence","2017","Alabama^","01","13,030","318.3","NA"
"HIV deaths","2019","Alabama^","01","268","6.5","NA"
"HIV deaths","2018","Alabama^","01","234","5.7","NA"
"HIV deaths","2017","Alabama^","01","262","6.4","NA"
"AIDS prevalence","2019","Alabama^","01","6,045","146.6","NA"
"AIDS prevalence","2018","Alabama^","01","5,891","143.4","NA"
"AIDS prevalence","2017","Alabama^","01","5,730","140.0","NA"
"AIDS deaths","2019","Alabama^","01","166","4.0","NA"
"AIDS deaths","2018","Alabama^","01","164","4.0","NA"
"AIDS deaths","2017","Alabama^","01","198","4.8","NA"
"Receipt of HIV medical care","2019","Alaska","02","616","NA","88.0"
"Receipt of HIV medical care","2018","Alaska","02","607","NA","88.7"
"Receipt of HIV medical care","2017","Alaska","02","609","NA","88.9"
"Primary and Secondary Syphilis","2019","Alaska","02","129","21.5","NA"
"Primary and Secondary Syphilis","2018","Alaska","02","55","9.2","NA"
"Primary and Secondary Syphilis","2017","Alaska","02","13","2.2","NA"
"PrEP coverage and number of persons prescribed","2019","Alaska","02","231","NA","13.0"
"PrEP coverage and number of persons prescribed","2018","Alaska","02","199","NA","11.2"
"PrEP coverage and number of persons prescribed","2017","Alaska","02","126","NA","5.3"
"Linkage to HIV care","2019","Alaska","02","23","NA","85.2"
"Linkage to HIV care","2018","Alaska","02","20","NA","87.0"
"Linkage to HIV care","2017","Alaska","02","28","NA","96.6"
"Knowledge of Status","2019","Alaska","02","715","NA","85.7 (69.3 - 100.0, 9.1)"
"Knowledge of Status","2018","Alaska","02","697","NA","86.3 (70.0 - 100.0, 8.9)"
"Knowledge of Status","2017","Alaska","02","704","NA","87.1 (71.2 - 100.0, 8.4)"
"Hepatitis  A","2019","Alaska","02","Data not available","Data not available","NA"
"Hepatitis  A","2018","Alaska","02","Data not available","Data not available","NA"
"Hepatitis  A","2017","Alaska","02","Data not available","Data not available","NA"
"HIV viral suppression","2019","Alaska","02","552","NA","78.9"
"HIV viral suppression","2018","Alaska","02","530","NA","77.5"
"HIV viral suppression","2017","Alaska","02","541","NA","79.0"
"HIV prevalence","2019","Alaska","02","724","120.9","NA"
"HIV prevalence","2018","Alaska","02","706","117.5","NA"
"HIV prevalence","2017","Alaska","02","712","118.0","NA"
"HIV diagnoses","2019","Alaska","02","27","4.5","NA"
"HIV diagnoses","2018","Alaska","02","23","3.8","NA"
"HIV diagnoses","2017","Alaska","02","29","4.8","NA"
"HIV deaths","2019","Alaska","02","11","1.8","NA"
"HIV deaths","2018","Alaska","02","9","1.5","NA"
"HIV deaths","2017","Alaska","02","7","1.2","NA"
"Gonorrhea","2019","Alaska","02","Data suppressed","Data suppressed","NA"
"Gonorrhea","2018","Alaska","02","2,244","373.6","NA"
"Gonorrhea","2017","Alaska","02","2,184","362.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Alaska","02","830 (720 - 1,000, 12.1)","139.2 (119.4 - 172.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Alaska","02","810 (700 - 1,000, 11.8)","134.5 (116.0 - 165.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Alaska","02","810 (700 - 990, 11.4)","134.1 (116.7 - 164.0)","NA"
"Estimated HIV incidence","2019","Alaska","02","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Alaska","02","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Alaska","02","Data suppressed","Data suppressed","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Alaska","02","78","13.0","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","41","6.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Alaska","02","9","1.5","NA"
"Congenital Syphilis","2019","Alaska","02","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Alaska","02","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Alaska","02","Data not available","Data not available","NA"
"Chlamydia","2019","Alaska","02","6,250","1043.4","NA"
"Chlamydia","2018","Alaska","02","6,155","1024.8","NA"
"Chlamydia","2017","Alaska","02","5,933","983.6","NA"
"Acute Viral Hepatitis C","2019","Alaska","02","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Alaska","02","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Alaska","02","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Alaska","02","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Alaska","02","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Alaska","02","Data not available","Data not available","NA"
"AIDS prevalence","2019","Alaska","02","370","61.8","NA"
"AIDS prevalence","2018","Alaska","02","377","62.8","NA"
"AIDS prevalence","2017","Alaska","02","387","64.2","NA"
"AIDS deaths","2019","Alaska","02","8","1.3","NA"
"AIDS deaths","2018","Alaska","02","8","1.3","NA"
"AIDS deaths","2017","Alaska","02","4","0.7","NA"
"AIDS classifications","2019","Alaska","02","8","1.3","NA"
"AIDS classifications","2018","Alaska","02","11","1.8","NA"
"AIDS classifications","2017","Alaska","02","13","2.2","NA"
"Receipt of HIV medical care","2019","Arizona","04","12,323","NA","74.5"
"Receipt of HIV medical care","2018","Arizona","04","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","Arizona","04","Data not available","NA","Data not available"
"Primary and Secondary Syphilis","2019","Arizona","04","Data suppressed","Data suppressed","NA"
"Primary and Secondary Syphilis","2018","Arizona","04","1,047","17.5","NA"
"Primary and Secondary Syphilis","2017","Arizona","04","942","16.0","NA"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","4,547","NA","17.6"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","3,511","NA","13.6"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","2,246","NA","8.4"
"Linkage to HIV care","2019","Arizona","04","630","NA","82.8"
"Linkage to HIV care","2018","Arizona","04","Data not available","NA","Data not available"
"Linkage to HIV care","2017","Arizona","04","Data not available","NA","Data not available"
"Knowledge of Status","2019","Arizona","04","17,132","NA","83.5 (79.6 - 87.8, 2.5)"
"Knowledge of Status","2018","Arizona","04","16,357","NA","83.1 (79.3 - 87.2, 2.4)"
"Knowledge of Status","2017","Arizona","04","15,727","NA","83.0 (79.3 - 87.0, 2.4)"
"Hepatitis  A","2019","Arizona","04","Data not available","Data not available","NA"
"Hepatitis  A","2018","Arizona","04","Data not available","Data not available","NA"
"Hepatitis  A","2017","Arizona","04","Data not available","Data not available","NA"
"HIV viral suppression","2019","Arizona","04","10,276","NA","62.1"
"HIV viral suppression","2018","Arizona","04","Data not available","NA","Data not available"
"HIV viral suppression","2017","Arizona","04","Data not available","NA","Data not available"
"HIV prevalence","2019","Arizona","04","17,296","283.1","NA"
"HIV prevalence","2018","Arizona","04","16,509","275.7","NA"
"HIV prevalence","2017","Arizona","04","15,875","270.4","NA"
"HIV diagnoses","2019","Arizona","04","761","12.5","NA"
"HIV diagnoses","2018","Arizona","04","753","12.6","NA"
"HIV diagnoses","2017","Arizona","04","727","12.4","NA"
"HIV deaths","2019","Arizona","04","228","3.7","NA"
"HIV deaths","2018","Arizona","04","249","4.2","NA"
"HIV deaths","2017","Arizona","04","248","4.2","NA"
"Gonorrhea","2019","Arizona","04","15,168","248.3","NA"
"Gonorrhea","2018","Arizona","04","12,861","214.8","NA"
"Gonorrhea","2017","Arizona","04","12,493","212.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Arizona","04","20,500 (19,500 - 21,500, 2.5)","335.8 (319.2 - 352.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Arizona","04","19,700 (18,800 - 20,600, 2.4)","329.0 (313.3 - 344.6)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Arizona","04","18,900 (18,100 - 19,800, 2.4)","322.7 (307.8 - 337.7)","NA"
"Estimated HIV incidence","2019","Arizona","04","800 (440 - 1,200, 23.2)","13.1 (7.2 - 19.1)","NA"
"Estimated HIV incidence","2018","Arizona","04","870 (550 - 1,200, 19.0)","14.5 (9.1 - 19.9)","NA"
"Estimated HIV incidence","2017","Arizona","04","840 (570 - 1,100, 16.4)","14.3 (9.7 - 18.8)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Arizona","04","1,179","19.3","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","898","15.0","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Arizona","04","620","10.6","NA"
"Congenital Syphilis","2019","Arizona","04","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Arizona","04","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Arizona","04","Data not available","Data not available","NA"
"Chlamydia","2019","Arizona","04","43,039","704.5","NA"
"Chlamydia","2018","Arizona","04","40,785","681.2","NA"
"Chlamydia","2017","Arizona","04","39,582","674.1","NA"
"Acute Viral Hepatitis C","2019","Arizona","04","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Arizona","04","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Arizona","04","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Arizona","04","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Arizona","04","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Arizona","04","Data not available","Data not available","NA"
"AIDS prevalence","2019","Arizona","04","7,936","129.9","NA"
"AIDS prevalence","2018","Arizona","04","7,720","128.9","NA"
"AIDS prevalence","2017","Arizona","04","7,561","128.8","NA"
"AIDS deaths","2019","Arizona","04","168","2.7","NA"
"AIDS deaths","2018","Arizona","04","197","3.3","NA"
"AIDS deaths","2017","Arizona","04","195","3.3","NA"
"AIDS classifications","2019","Arizona","04","258","4.2","NA"
"AIDS classifications","2018","Arizona","04","296","4.9","NA"
"AIDS classifications","2017","Arizona","04","303","5.2","NA"
"Receipt of HIV medical care","2019","Arkansas","05","3,721","NA","65.6"
"Receipt of HIV medical care","2018","Arkansas","05","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","Arkansas","05","Data not available","NA","Data not available"
"Primary and Secondary Syphilis","2019","Arkansas","05","Data suppressed","Data suppressed","NA"
"Primary and Secondary Syphilis","2018","Arkansas","05","288","11.5","NA"
"Primary and Secondary Syphilis","2017","Arkansas","05","234","9.4","NA"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","739","NA","14.4"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","594","NA","11.6"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","420","NA","8.7"
"Linkage to HIV care","2019","Arkansas","05","229","NA","79.8"
"Linkage to HIV care","2018","Arkansas","05","Data not available","NA","Data not available"
"Linkage to HIV care","2017","Arkansas","05","Data not available","NA","Data not available"
"Knowledge of Status","2019","Arkansas","05","5,892","NA","81.5 (75.1 - 89.1, 4.4)"
"Knowledge of Status","2018","Arkansas","05","5,670","NA","81.4 (75.3 - 88.7, 4.2)"
"Knowledge of Status","2017","Arkansas","05","5,534","NA","80.6 (74.7 - 87.5, 4.1)"
"Hepatitis  A","2019","Arkansas","05","Data not available","Data not available","NA"
"Hepatitis  A","2018","Arkansas","05","Data not available","Data not available","NA"
"Hepatitis  A","2017","Arkansas","05","Data not available","Data not available","NA"
"HIV viral suppression","2019","Arkansas","05","2,715","NA","47.9"
"HIV viral suppression","2018","Arkansas","05","Data not available","NA","Data not available"
"HIV viral suppression","2017","Arkansas","05","Data not available","NA","Data not available"
"HIV prevalence","2019","Arkansas","05","5,939","236.0","NA"
"HIV prevalence","2018","Arkansas","05","5,718","228.2","NA"
"HIV prevalence","2017","Arkansas","05","5,580","223.7","NA"
"HIV diagnoses","2019","Arkansas","05","287","11.4","NA"
"HIV diagnoses","2018","Arkansas","05","278","11.1","NA"
"HIV diagnoses","2017","Arkansas","05","287","11.5","NA"
"HIV deaths","2019","Arkansas","05","97","3.9","NA"
"HIV deaths","2018","Arkansas","05","84","3.4","NA"
"HIV deaths","2017","Arkansas","05","106","4.2","NA"
"Gonorrhea","2019","Arkansas","05","6,901","274.3","NA"
"Gonorrhea","2018","Arkansas","05","7,294","291.2","NA"
"Gonorrhea","2017","Arkansas","05","6,705","268.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Arkansas","05","7,200 (6,600 - 7,800, 4.3)","287.2 (262.7 - 311.7)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Arkansas","05","7,000 (6,400 - 7,500, 4.2)","277.9 (255.1 - 300.7)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Arkansas","05","6,900 (6,300 - 7,400, 4.0)","275.2 (253.5 - 296.9)","NA"
"Estimated HIV incidence","2019","Arkansas","05","330 (100 - 560, 35.3*)","13.1 (4.0 - 22.2)","NA"
"Estimated HIV incidence","2018","Arkansas","05","240 (60 - 410, 37.3*)","9.5 (2.5 - 16.5)","NA"
"Estimated HIV incidence","2017","Arkansas","05","300 (130 - 460, 28.0)","11.8 (5.3 - 18.3)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Arkansas","05","267","10.6","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","363","14.5","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Arkansas","05","327","13.1","NA"
"Congenital Syphilis","2019","Arkansas","05","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Arkansas","05","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Arkansas","05","Data not available","Data not available","NA"
"Chlamydia","2019","Arkansas","05","17,183","682.9","NA"
"Chlamydia","2018","Arkansas","05","17,652","704.6","NA"
"Chlamydia","2017","Arkansas","05","17,301","693.6","NA"
"Acute Viral Hepatitis C","2019","Arkansas","05","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Arkansas","05","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Arkansas","05","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Arkansas","05","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Arkansas","05","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Arkansas","05","Data not available","Data not available","NA"
"AIDS prevalence","2019","Arkansas","05","2,664","105.9","NA"
"AIDS prevalence","2018","Arkansas","05","2,575","102.8","NA"
"AIDS prevalence","2017","Arkansas","05","2,540","101.8","NA"
"AIDS deaths","2019","Arkansas","05","70","2.8","NA"
"AIDS deaths","2018","Arkansas","05","62","2.5","NA"
"AIDS deaths","2017","Arkansas","05","80","3.2","NA"
"AIDS classifications","2019","Arkansas","05","136","5.4","NA"
"AIDS classifications","2018","Arkansas","05","119","4.8","NA"
"AIDS classifications","2017","Arkansas","05","133","5.3","NA"
"Receipt of HIV medical care","2019","California","06","98,773","NA","76.8"
"Receipt of HIV medical care","2018","California","06","95,975","NA","76.0"
"Receipt of HIV medical care","2017","California","06","94,542","NA","76.6"
"Primary and Secondary Syphilis","2019","California","06","8,263","24.9","NA"
"Primary and Secondary Syphilis","2018","California","06","7,601","23.0","NA"
"Primary and Secondary Syphilis","2017","California","06","6,704","20.4","NA"
"PrEP coverage and number of persons prescribed","2019","California","06","41,466","NA","25.1"
"PrEP coverage and number of persons prescribed","2018","California","06","36,025","NA","21.8"
"PrEP coverage and number of persons prescribed","2017","California","06","26,149","NA","15.7"
"Linkage to HIV care","2019","California","06","3,601","NA","82.7"
"Linkage to HIV care","2018","California","06","3,744","NA","79.5"
"Linkage to HIV care","2017","California","06","3,624","NA","74.3"
"Knowledge of Status","2019","California","06","132,146","NA","87.6 (86.0 - 89.2, 0.9)"
"Knowledge of Status","2018","California","06","129,772","NA","87.2 (85.7 - 88.7, 0.9)"
"Knowledge of Status","2017","California","06","127,097","NA","86.8 (85.4 - 88.4, 0.9)"
"Hepatitis  A","2019","California","06","Data not available","Data not available","NA"
"Hepatitis  A","2018","California","06","Data not available","Data not available","NA"
"Hepatitis  A","2017","California","06","Data not available","Data not available","NA"
"HIV viral suppression","2019","California","06","86,913","NA","67.6"
"HIV viral suppression","2018","California","06","84,492","NA","66.9"
"HIV viral suppression","2017","California","06","82,379","NA","66.7"
"HIV prevalence","2019","California","06","132,911","401.1","NA"
"HIV prevalence","2018","California","06","130,525","395.4","NA"
"HIV prevalence","2017","California","06","127,828","389.2","NA"
"HIV diagnoses","2019","California","06","4,354","13.1","NA"
"HIV diagnoses","2018","California","06","4,715","14.3","NA"
"HIV diagnoses","2017","California","06","4,806","14.6","NA"
"HIV deaths","2019","California","06","1,747","5.3","NA"
"HIV deaths","2018","California","06","1,734","5.3","NA"
"HIV deaths","2017","California","06","1,725","5.3","NA"
"Gonorrhea","2019","California","06","80,070","241.7","NA"
"Gonorrhea","2018","California","06","78,997","239.3","NA"
"Gonorrhea","2017","California","06","75,200","228.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","California","06","150,900 (148,100 - 153,600, 0.9)","455.3 (447.1 - 463.6)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","California","06","148,900 (146,200 - 151,500, 0.9)","450.9 (443.0 - 458.9)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","California","06","146,400 (143,800 - 148,900, 0.9)","445.5 (437.9 - 453.2)","NA"
"Estimated HIV incidence","2019","California","06","4,000 (3,300 - 4,800, 9.6)","12.1 (9.8 - 14.3)","NA"
"Estimated HIV incidence","2018","California","06","4,500 (3,900 - 5,200, 7.6)","13.8 (11.7 - 15.8)","NA"
"Estimated HIV incidence","2017","California","06","4,600 (4,000 - 5,200, 6.6)","14.0 (12.2 - 15.8)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","California","06","8,277","25.0","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","7,706","23.3","NA"
