"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2014"	"2014"	"Event of undetermined intent"	"Y10-Y34"	33	4849377	0.7
	"Alabama"	"01"	"2015"	"2015"	"Other external causes of accidental injury"	"W00-X59"	657	4858979	13.5
	"Alabama"	"01"	"2015"	"2015"	"Intentional self-harm"	"X60-X84"	44	4858979	0.9
	"Alabama"	"01"	"2015"	"2015"	"Event of undetermined intent"	"Y10-Y34"	35	4858979	0.7
	"Alabama"	"01"	"2016"	"2016"	"Other external causes of accidental injury"	"W00-X59"	680	4863300	14.0
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-harm"	"X60-X84"	46	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Event of undetermined intent"	"Y10-Y34"	28	4863300	0.6
	"Alabama"	"01"	"2017"	"2017"	"Other external causes of accidental injury"	"W00-X59"	752	4874747	15.4
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-harm"	"X60-X84"	52	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Event of undetermined intent"	"Y10-Y34"	31	4874747	0.6
	"Alabama"	"01"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	686	4887871	14.0
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	54	4887871	1.1
	"Alabama"	"01"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	34	4887871	0.7
	"Alabama"	"01"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	696	4903185	14.2
	"Alabama"	"01"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	46	4903185	0.9
	"Alabama"	"01"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	26	4903185	0.5
	"Alabama"	"01"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	963	4921532	19.6
	"Alabama"	"01"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	44	4921532	0.9
	"Alabama"	"01"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	20	4921532	0.4
	"Alaska"	"02"	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	27	624779	4.3
	"Alaska"	"02"	"1999"	"1999"	"Intentional self-harm"	"X60-X84"	10	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"Other external causes of accidental injury"	"W00-X59"	36	626932	5.7
	"Alaska"	"02"	"2001"	"2001"	"Other external causes of accidental injury"	"W00-X59"	53	633714	8.4
	"Alaska"	"02"	"2002"	"2002"	"Other external causes of accidental injury"	"W00-X59"	69	642337	10.7
	"Alaska"	"02"	"2002"	"2002"	"Intentional self-harm"	"X60-X84"	12	642337	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"Other external causes of accidental injury"	"W00-X59"	72	648414	11.1
	"Alaska"	"02"	"2003"	"2003"	"Intentional self-harm"	"X60-X84"	10	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"Other external causes of accidental injury"	"W00-X59"	64	659286	9.7
	"Alaska"	"02"	"2004"	"2004"	"Intentional self-harm"	"X60-X84"	16	659286	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"Other external causes of accidental injury"	"W00-X59"	62	666946	9.3
	"Alaska"	"02"	"2006"	"2006"	"Other external causes of accidental injury"	"W00-X59"	66	675302	9.8
	"Alaska"	"02"	"2007"	"2007"	"Other external causes of accidental injury"	"W00-X59"	63	680300	9.3
	"Alaska"	"02"	"2008"	"2008"	"Other external causes of accidental injury"	"W00-X59"	91	687455	13.2
	"Alaska"	"02"	"2008"	"2008"	"Intentional self-harm"	"X60-X84"	13	687455	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Event of undetermined intent"	"Y10-Y34"	23	687455	3.3
	"Alaska"	"02"	"2009"	"2009"	"Other external causes of accidental injury"	"W00-X59"	101	698895	14.5
	"Alaska"	"02"	"2009"	"2009"	"Intentional self-harm"	"X60-X84"	21	698895	3.0
	"Alaska"	"02"	"2010"	"2010"	"Other external causes of accidental injury"	"W00-X59"	74	710231	10.4
	"Alaska"	"02"	"2011"	"2011"	"Other external causes of accidental injury"	"W00-X59"	97	722718	13.4
	"Alaska"	"02"	"2012"	"2012"	"Other external causes of accidental injury"	"W00-X59"	113	731449	15.4
	"Alaska"	"02"	"2012"	"2012"	"Intentional self-harm"	"X60-X84"	16	731449	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Other external causes of accidental injury"	"W00-X59"	92	735132	12.5
	"Alaska"	"02"	"2013"	"2013"	"Intentional self-harm"	"X60-X84"	12	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Other external causes of accidental injury"	"W00-X59"	103	736732	14.0
	"Alaska"	"02"	"2014"	"2014"	"Intentional self-harm"	"X60-X84"	16	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"Other external causes of accidental injury"	"W00-X59"	105	738432	14.2
	"Alaska"	"02"	"2015"	"2015"	"Intentional self-harm"	"X60-X84"	10	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Other external causes of accidental injury"	"W00-X59"	103	741894	13.9
	"Alaska"	"02"	"2016"	"2016"	"Intentional self-harm"	"X60-X84"	16	741894	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Other external causes of accidental injury"	"W00-X59"	123	739795	16.6
	"Alaska"	"02"	"2017"	"2017"	"Intentional self-harm"	"X60-X84"	17	739795	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	95	737438	12.9
	"Alaska"	"02"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	112	731545	15.3
	"Alaska"	"02"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	14	731545	Unreliable
	"Alaska"	"02"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	140	731158	19.1
	"Alaska"	"02"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	11	731158	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	362	5023823	7.2
	"Arizona"	"04"	"1999"	"1999"	"Intentional self-harm"	"X60-X84"	112	5023823	2.2
	"Arizona"	"04"	"1999"	"1999"	"Event of undetermined intent"	"Y10-Y34"	36	5023823	0.7
	"Arizona"	"04"	"2000"	"2000"	"Other external causes of accidental injury"	"W00-X59"	399	5130632	7.8
	"Arizona"	"04"	"2000"	"2000"	"Intentional self-harm"	"X60-X84"	91	5130632	1.8
	"Arizona"	"04"	"2000"	"2000"	"Event of undetermined intent"	"Y10-Y34"	32	5130632	0.6
	"Arizona"	"04"	"2001"	"2001"	"Other external causes of accidental injury"	"W00-X59"	429	5273477	8.1
	"Arizona"	"04"	"2001"	"2001"	"Intentional self-harm"	"X60-X84"	80	5273477	1.5
	"Arizona"	"04"	"2001"	"2001"	"Event of undetermined intent"	"Y10-Y34"	40	5273477	0.8
	"Arizona"	"04"	"2002"	"2002"	"Other external causes of accidental injury"	"W00-X59"	464	5396255	8.6
	"Arizona"	"04"	"2002"	"2002"	"Intentional self-harm"	"X60-X84"	110	5396255	2.0
	"Arizona"	"04"	"2002"	"2002"	"Event of undetermined intent"	"Y10-Y34"	48	5396255	0.9
	"Arizona"	"04"	"2003"	"2003"	"Other external causes of accidental injury"	"W00-X59"	512	5510364	9.3
	"Arizona"	"04"	"2003"	"2003"	"Intentional self-harm"	"X60-X84"	106	5510364	1.9
	"Arizona"	"04"	"2003"	"2003"	"Event of undetermined intent"	"Y10-Y34"	55	5510364	1.0
	"Arizona"	"04"	"2004"	"2004"	"Other external causes of accidental injury"	"W00-X59"	549	5652404	9.7
	"Arizona"	"04"	"2004"	"2004"	"Intentional self-harm"	"X60-X84"	123	5652404	2.2
	"Arizona"	"04"	"2004"	"2004"	"Event of undetermined intent"	"Y10-Y34"	71	5652404	1.3
	"Arizona"	"04"	"2005"	"2005"	"Other external causes of accidental injury"	"W00-X59"	585	5839077	10.0
	"Arizona"	"04"	"2005"	"2005"	"Intentional self-harm"	"X60-X84"	115	5839077	2.0
	"Arizona"	"04"	"2005"	"2005"	"Event of undetermined intent"	"Y10-Y34"	89	5839077	1.5
	"Arizona"	"04"	"2006"	"2006"	"Other external causes of accidental injury"	"W00-X59"	663	6029141	11.0
	"Arizona"	"04"	"2006"	"2006"	"Intentional self-harm"	"X60-X84"	132	6029141	2.2
	"Arizona"	"04"	"2006"	"2006"	"Event of undetermined intent"	"Y10-Y34"	78	6029141	1.3
	"Arizona"	"04"	"2007"	"2007"	"Other external causes of accidental injury"	"W00-X59"	697	6167681	11.3
	"Arizona"	"04"	"2007"	"2007"	"Intentional self-harm"	"X60-X84"	179	6167681	2.9
	"Arizona"	"04"	"2007"	"2007"	"Event of undetermined intent"	"Y10-Y34"	66	6167681	1.1
	"Arizona"	"04"	"2008"	"2008"	"Other external causes of accidental injury"	"W00-X59"	621	6280362	9.9
	"Arizona"	"04"	"2008"	"2008"	"Intentional self-harm"	"X60-X84"	149	6280362	2.4
	"Arizona"	"04"	"2008"	"2008"	"Event of undetermined intent"	"Y10-Y34"	58	6280362	0.9
	"Arizona"	"04"	"2009"	"2009"	"Other external causes of accidental injury"	"W00-X59"	757	6343154	11.9
	"Arizona"	"04"	"2009"	"2009"	"Intentional self-harm"	"X60-X84"	173	6343154	2.7
	"Arizona"	"04"	"2009"	"2009"	"Event of undetermined intent"	"Y10-Y34"	70	6343154	1.1
	"Arizona"	"04"	"2010"	"2010"	"Other external causes of accidental injury"	"W00-X59"	843	6392017	13.2
	"Arizona"	"04"	"2010"	"2010"	"Intentional self-harm"	"X60-X84"	159	6392017	2.5
	"Arizona"	"04"	"2010"	"2010"	"Event of undetermined intent"	"Y10-Y34"	95	6392017	1.5
	"Arizona"	"04"	"2011"	"2011"	"Other external causes of accidental injury"	"W00-X59"	811	6482505	12.5
	"Arizona"	"04"	"2011"	"2011"	"Intentional self-harm"	"X60-X84"	178	6482505	2.7
	"Arizona"	"04"	"2011"	"2011"	"Event of undetermined intent"	"Y10-Y34"	82	6482505	1.3
	"Arizona"	"04"	"2012"	"2012"	"Other external causes of accidental injury"	"W00-X59"	843	6553255	12.9
	"Arizona"	"04"	"2012"	"2012"	"Intentional self-harm"	"X60-X84"	165	6553255	2.5
	"Arizona"	"04"	"2012"	"2012"	"Event of undetermined intent"	"Y10-Y34"	125	6553255	1.9
	"Arizona"	"04"	"2013"	"2013"	"Other external causes of accidental injury"	"W00-X59"	942	6626624	14.2
	"Arizona"	"04"	"2013"	"2013"	"Intentional self-harm"	"X60-X84"	161	6626624	2.4
	"Arizona"	"04"	"2013"	"2013"	"Event of undetermined intent"	"Y10-Y34"	119	6626624	1.8
	"Arizona"	"04"	"2014"	"2014"	"Other external causes of accidental injury"	"W00-X59"	934	6731484	13.9
	"Arizona"	"04"	"2014"	"2014"	"Intentional self-harm"	"X60-X84"	166	6731484	2.5
	"Arizona"	"04"	"2014"	"2014"	"Event of undetermined intent"	"Y10-Y34"	110	6731484	1.6
	"Arizona"	"04"	"2015"	"2015"	"Other external causes of accidental injury"	"W00-X59"	998	6828065	14.6
	"Arizona"	"04"	"2015"	"2015"	"Intentional self-harm"	"X60-X84"	173	6828065	2.5
	"Arizona"	"04"	"2015"	"2015"	"Event of undetermined intent"	"Y10-Y34"	102	6828065	1.5
	"Arizona"	"04"	"2016"	"2016"	"Other external causes of accidental injury"	"W00-X59"	1141	6931071	16.5
	"Arizona"	"04"	"2016"	"2016"	"Intentional self-harm"	"X60-X84"	140	6931071	2.0
	"Arizona"	"04"	"2016"	"2016"	"Event of undetermined intent"	"Y10-Y34"	100	6931071	1.4
	"Arizona"	"04"	"2017"	"2017"	"Other external causes of accidental injury"	"W00-X59"	1297	7016270	18.5
	"Arizona"	"04"	"2017"	"2017"	"Intentional self-harm"	"X60-X84"	143	7016270	2.0
	"Arizona"	"04"	"2017"	"2017"	"Event of undetermined intent"	"Y10-Y34"	89	7016270	1.3
	"Arizona"	"04"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	1439	7171646	20.1
	"Arizona"	"04"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	155	7171646	2.2
	"Arizona"	"04"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	75	7171646	1.0
	"Arizona"	"04"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	1687	7278717	23.2
	"Arizona"	"04"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	151	7278717	2.1
	"Arizona"	"04"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	69	7278717	0.9
	"Arizona"	"04"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	2316	7421401	31.2
	"Arizona"	"04"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	123	7421401	1.7
	"Arizona"	"04"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	111	7421401	1.5
	"Arkansas"	"05"	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	31	2651860	1.2
	"Arkansas"	"05"	"1999"	"1999"	"Intentional self-harm"	"X60-X84"	32	2651860	1.2
	"Arkansas"	"05"	"1999"	"1999"	"Event of undetermined intent"	"Y10-Y34"	49	2651860	1.8
	"Arkansas"	"05"	"2000"	"2000"	"Other external causes of accidental injury"	"W00-X59"	46	2673400	1.7
	"Arkansas"	"05"	"2000"	"2000"	"Intentional self-harm"	"X60-X84"	30	2673400	1.1
	"Arkansas"	"05"	"2000"	"2000"	"Event of undetermined intent"	"Y10-Y34"	64	2673400	2.4
	"Arkansas"	"05"	"2001"	"2001"	"Other external causes of accidental injury"	"W00-X59"	40	2691571	1.5
	"Arkansas"	"05"	"2001"	"2001"	"Intentional self-harm"	"X60-X84"	33	2691571	1.2
	"Arkansas"	"05"	"2001"	"2001"	"Event of undetermined intent"	"Y10-Y34"	53	2691571	2.0
	"Arkansas"	"05"	"2002"	"2002"	"Other external causes of accidental injury"	"W00-X59"	59	2705927	2.2
	"Arkansas"	"05"	"2002"	"2002"	"Intentional self-harm"	"X60-X84"	40	2705927	1.5
	"Arkansas"	"05"	"2002"	"2002"	"Event of undetermined intent"	"Y10-Y34"	76	2705927	2.8
	"Arkansas"	"05"	"2003"	"2003"	"Other external causes of accidental injury"	"W00-X59"	61	2724816	2.2
	"Arkansas"	"05"	"2003"	"2003"	"Intentional self-harm"	"X60-X84"	42	2724816	1.5
	"Arkansas"	"05"	"2003"	"2003"	"Event of undetermined intent"	"Y10-Y34"	81	2724816	3.0
	"Arkansas"	"05"	"2004"	"2004"	"Other external causes of accidental injury"	"W00-X59"	93	2749686	3.4
	"Arkansas"	"05"	"2004"	"2004"	"Intentional self-harm"	"X60-X84"	46	2749686	1.7
	"Arkansas"	"05"	"2004"	"2004"	"Event of undetermined intent"	"Y10-Y34"	88	2749686	3.2
	"Arkansas"	"05"	"2005"	"2005"	"Other external causes of accidental injury"	"W00-X59"	109	2781097	3.9
	"Arkansas"	"05"	"2005"	"2005"	"Intentional self-harm"	"X60-X84"	48	2781097	1.7
	"Arkansas"	"05"	"2005"	"2005"	"Event of undetermined intent"	"Y10-Y34"	112	2781097	4.0
	"Arkansas"	"05"	"2006"	"2006"	"Other external causes of accidental injury"	"W00-X59"	135	2821761	4.8
	"Arkansas"	"05"	"2006"	"2006"	"Intentional self-harm"	"X60-X84"	38	2821761	1.3
	"Arkansas"	"05"	"2006"	"2006"	"Event of undetermined intent"	"Y10-Y34"	112	2821761	4.0
	"Arkansas"	"05"	"2007"	"2007"	"Other external causes of accidental injury"	"W00-X59"	129	2848650	4.5
	"Arkansas"	"05"	"2007"	"2007"	"Intentional self-harm"	"X60-X84"	44	2848650	1.5
	"Arkansas"	"05"	"2007"	"2007"	"Event of undetermined intent"	"Y10-Y34"	128	2848650	4.5
	"Arkansas"	"05"	"2008"	"2008"	"Other external causes of accidental injury"	"W00-X59"	197	2874554	6.9
	"Arkansas"	"05"	"2008"	"2008"	"Intentional self-harm"	"X60-X84"	68	2874554	2.4
	"Arkansas"	"05"	"2008"	"2008"	"Event of undetermined intent"	"Y10-Y34"	95	2874554	3.3
	"Arkansas"	"05"	"2009"	"2009"	"Other external causes of accidental injury"	"W00-X59"	220	2896843	7.6
	"Arkansas"	"05"	"2009"	"2009"	"Intentional self-harm"	"X60-X84"	41	2896843	1.4
	"Arkansas"	"05"	"2009"	"2009"	"Event of undetermined intent"	"Y10-Y34"	90	2896843	3.1
	"Arkansas"	"05"	"2010"	"2010"	"Other external causes of accidental injury"	"W00-X59"	227	2915918	7.8
	"Arkansas"	"05"	"2010"	"2010"	"Intentional self-harm"	"X60-X84"	54	2915918	1.9
	"Arkansas"	"05"	"2010"	"2010"	"Event of undetermined intent"	"Y10-Y34"	69	2915918	2.4
	"Arkansas"	"05"	"2011"	"2011"	"Other external causes of accidental injury"	"W00-X59"	260	2937979	8.8
	"Arkansas"	"05"	"2011"	"2011"	"Intentional self-harm"	"X60-X84"	52	2937979	1.8
	"Arkansas"	"05"	"2011"	"2011"	"Event of undetermined intent"	"Y10-Y34"	43	2937979	1.5
	"Arkansas"	"05"	"2012"	"2012"	"Other external causes of accidental injury"	"W00-X59"	257	2949131	8.7
	"Arkansas"	"05"	"2012"	"2012"	"Intentional self-harm"	"X60-X84"	57	2949131	1.9
	"Arkansas"	"05"	"2012"	"2012"	"Event of undetermined intent"	"Y10-Y34"	59	2949131	2.0
	"Arkansas"	"05"	"2013"	"2013"	"Other external causes of accidental injury"	"W00-X59"	216	2959373	7.3
	"Arkansas"	"05"	"2013"	"2013"	"Intentional self-harm"	"X60-X84"	54	2959373	1.8
	"Arkansas"	"05"	"2013"	"2013"	"Event of undetermined intent"	"Y10-Y34"	49	2959373	1.7
	"Arkansas"	"05"	"2014"	"2014"	"Other external causes of accidental injury"	"W00-X59"	251	2966369	8.5
	"Arkansas"	"05"	"2014"	"2014"	"Intentional self-harm"	"X60-X84"	45	2966369	1.5
	"Arkansas"	"05"	"2014"	"2014"	"Event of undetermined intent"	"Y10-Y34"	59	2966369	2.0
	"Arkansas"	"05"	"2015"	"2015"	"Other external causes of accidental injury"	"W00-X59"	274	2978204	9.2
	"Arkansas"	"05"	"2015"	"2015"	"Intentional self-harm"	"X60-X84"	65	2978204	2.2
	"Arkansas"	"05"	"2015"	"2015"	"Event of undetermined intent"	"Y10-Y34"	51	2978204	1.7
	"Arkansas"	"05"	"2016"	"2016"	"Other external causes of accidental injury"	"W00-X59"	296	2988248	9.9
	"Arkansas"	"05"	"2016"	"2016"	"Intentional self-harm"	"X60-X84"	57	2988248	1.9
	"Arkansas"	"05"	"2016"	"2016"	"Event of undetermined intent"	"Y10-Y34"	46	2988248	1.5
	"Arkansas"	"05"	"2017"	"2017"	"Other external causes of accidental injury"	"W00-X59"	330	3004279	11.0
	"Arkansas"	"05"	"2017"	"2017"	"Intentional self-harm"	"X60-X84"	65	3004279	2.2
	"Arkansas"	"05"	"2017"	"2017"	"Event of undetermined intent"	"Y10-Y34"	46	3004279	1.5
	"Arkansas"	"05"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	349	3013825	11.6
	"Arkansas"	"05"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	57	3013825	1.9
	"Arkansas"	"05"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	35	3013825	1.2
	"Arkansas"	"05"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	319	3017804	10.6
	"Arkansas"	"05"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	34	3017804	1.1
	"Arkansas"	"05"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	33	3017804	1.1
	"Arkansas"	"05"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	456	3030522	15.0
	"Arkansas"	"05"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	52	3030522	1.7
	"Arkansas"	"05"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	37	3030522	1.2
	"California"	"06"	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	2157	33499204	6.4
	"California"	"06"	"1999"	"1999"	"Intentional self-harm"	"X60-X84"	403	33499204	1.2
	"California"	"06"	"1999"	"1999"	"Event of undetermined intent"	"Y10-Y34"	100	33499204	0.3
	"California"	"06"	"2000"	"2000"	"Other external causes of accidental injury"	"W00-X59"	1519	33871648	4.5
	"California"	"06"	"2000"	"2000"	"Intentional self-harm"	"X60-X84"	343	33871648	1.0
	"California"	"06"	"2000"	"2000"	"Event of undetermined intent"	"Y10-Y34"	74	33871648	0.2
	"California"	"06"	"2001"	"2001"	"Other external causes of accidental injury"	"W00-X59"	976	34479458	2.8
	"California"	"06"	"2001"	"2001"	"Intentional self-harm"	"X60-X84"	203	34479458	0.6
	"California"	"06"	"2001"	"2001"	"Event of undetermined intent"	"Y10-Y34"	45	34479458	0.1
	"California"	"06"	"2002"	"2002"	"Other external causes of accidental injury"	"W00-X59"	2318	34871843	6.6
	"California"	"06"	"2002"	"2002"	"Intentional self-harm"	"X60-X84"	511	34871843	1.5
	"California"	"06"	"2002"	"2002"	"Event of undetermined intent"	"Y10-Y34"	138	34871843	0.4
	"California"	"06"	"2003"	"2003"	"Other external causes of accidental injury"	"W00-X59"	2399	35253159	6.8
	"California"	"06"	"2003"	"2003"	"Intentional self-harm"	"X60-X84"	542	35253159	1.5
	"California"	"06"	"2003"	"2003"	"Assault"	"X85-Y09"	11	35253159	Unreliable
	"California"	"06"	"2003"	"2003"	"Event of undetermined intent"	"Y10-Y34"	156	35253159	0.4
	"California"	"06"	"2004"	"2004"	"Other external causes of accidental injury"	"W00-X59"	2424	35574576	6.8
	"California"	"06"	"2004"	"2004"	"Intentional self-harm"	"X60-X84"	532	35574576	1.5
	"California"	"06"	"2004"	"2004"	"Event of undetermined intent"	"Y10-Y34"	164	35574576	0.5
	"California"	"06"	"2005"	"2005"	"Other external causes of accidental injury"	"W00-X59"	2529	35827943	7.1
	"California"	"06"	"2005"	"2005"	"Intentional self-harm"	"X60-X84"	495	35827943	1.4
	"California"	"06"	"2005"	"2005"	"Event of undetermined intent"	"Y10-Y34"	184	35827943	0.5
	"California"	"06"	"2006"	"2006"	"Other external causes of accidental injury"	"W00-X59"	2760	36021202	7.7
	"California"	"06"	"2006"	"2006"	"Intentional self-harm"	"X60-X84"	565	36021202	1.6
	"California"	"06"	"2006"	"2006"	"Event of undetermined intent"	"Y10-Y34"	160	36021202	0.4
	"California"	"06"	"2007"	"2007"	"Other external causes of accidental injury"	"W00-X59"	3059	36250311	8.4
